Grid,cutset,N,sample_num,log10(part),"time in sec	 "
Grids_15,1,100,0,245.3380458,4.326439857
Grids_15,1,100,1,240.7474614,4.291160822
Grids_15,1,100,2,235.5680081,4.251852512
Grids_15,1,100,3,235.4408438,4.256417751
Grids_15,1,100,4,239.3219203,4.268141747
Grids_15,1,100,5,239.4748671,4.287680149
Grids_15,1,100,6,238.1592011,4.272144318
Grids_15,1,100,7,237.7595406,4.269086123
Grids_15,1,100,8,238.1469086,4.288311958
Grids_15,1,100,9,239.4897537,4.273641586
Grids_15,1,1000,0,241.5586959,42.16018105
Grids_15,1,1000,1,241.0198563,42.02007699
Grids_15,1,1000,2,237.3812971,41.87166762
Grids_15,1,1000,3,239.8137496,41.7274673
Grids_15,1,1000,4,239.3498096,42.12639928
Grids_15,1,1000,5,237.3214391,41.51384449
Grids_15,1,1000,6,240.7164337,42.07080007
Grids_15,1,1000,7,235.6194681,41.40058494
Grids_15,1,1000,8,235.1227248,41.52880716
Grids_15,1,1000,9,236.0975916,41.73741961
Grids_15,1,10000,0,232.4590679,420.8119028
Grids_15,1,10000,1,204.8182465,415.033705
Grids_15,1,10000,2,237.9642856,418.2353208
Grids_15,1,10000,3,214.0344011,423.0786884
Grids_15,1,10000,4,213.5467641,417.2378092
Grids_15,1,10000,5,203.0677822,415.7929311
Grids_15,1,10000,6,236.1179232,416.9273136
Grids_15,1,10000,7,240.1792381,421.6496406
Grids_15,1,10000,8,232.20458,412.2633078
Grids_15,1,10000,9,232.1606285,418.5273008
Grids_15,1,20000,0,240.6331939,841.9064999
Grids_15,1,20000,1,208.3987963,831.240777
Grids_15,1,20000,2,199.2285318,830.7215171
Grids_15,1,20000,3,210.7608075,831.5871396
Grids_15,1,20000,4,201.0111364,830.6860409
Grids_15,1,20000,5,221.7120415,846.3179028
Grids_15,1,20000,6,226.8751769,826.0292435
Grids_15,1,20000,7,224.4170619,837.0188541
Grids_15,1,20000,8,223.7019684,839.749485
Grids_15,1,20000,9,237.0285481,832.8625684
Grids_15,2,100,0,254.8929661,4.638636827
Grids_15,2,100,1,255.8424193,4.707430363
Grids_15,2,100,2,254.8157855,4.645408154
Grids_15,2,100,3,256.4418246,4.694626808
Grids_15,2,100,4,256.217929,4.618236303
Grids_15,2,100,5,253.3801356,4.554274082
Grids_15,2,100,6,254.2791663,4.580198765
Grids_15,2,100,7,255.0296517,4.527367592
Grids_15,2,100,8,256.56926,4.716587067
Grids_15,2,100,9,253.8476363,4.621139526
Grids_15,2,1000,0,252.6376669,44.56037307
Grids_15,2,1000,1,252.6956317,45.23135281
Grids_15,2,1000,2,253.8199177,44.85669827
Grids_15,2,1000,3,252.6564714,44.91387463
Grids_15,2,1000,4,253.5183135,45.73028684
Grids_15,2,1000,5,254.6046051,45.59030104
Grids_15,2,1000,6,255.4189192,45.94488049
Grids_15,2,1000,7,255.3771485,46.05240512
Grids_15,2,1000,8,255.3906254,45.93285704
Grids_15,2,1000,9,254.2281425,44.99388075
Grids_15,2,10000,0,235.3696875,444.4680369
Grids_15,2,10000,1,251.5725128,456.8469083
Grids_15,2,10000,2,242.5193288,453.4286294
Grids_15,2,10000,3,246.8653154,440.0102425
Grids_15,2,10000,4,248.9280533,446.0787981
Grids_15,2,10000,5,240.1719604,459.2140975
Grids_15,2,10000,6,254.3649085,460.2090509
Grids_15,2,10000,7,244.5017959,458.7650371
Grids_15,2,10000,8,230.2454938,460.2111344
Grids_15,2,10000,9,252.4518235,448.7100468
Grids_15,2,20000,0,226.54802,889.4596844
Grids_15,2,20000,1,249.6599662,896.2557502
Grids_15,2,20000,2,245.1351361,882.2423949
Grids_15,2,20000,3,231.2136597,921.3333201
Grids_15,2,20000,4,217.349883,920.232615
Grids_15,2,20000,5,244.4407078,914.2510738
Grids_15,2,20000,6,229.4721451,917.9883692
Grids_15,2,20000,7,217.8244546,914.9321933
Grids_15,2,20000,8,245.7453703,918.8203049
Grids_15,2,20000,9,234.8710281,921.4564419
Grids_15,3,100,0,266.2939241,5.908323288
Grids_15,3,100,1,263.646285,5.605496407
Grids_15,3,100,2,265.3582802,5.869791269
Grids_15,3,100,3,265.7154797,5.924192429
Grids_15,3,100,4,265.0211708,5.935052395
Grids_15,3,100,5,264.391857,5.678135157
Grids_15,3,100,6,265.6895077,5.73319912
Grids_15,3,100,7,264.8706257,5.803652525
Grids_15,3,100,8,265.9495267,5.892402649
Grids_15,3,100,9,264.7244054,5.797054291
Grids_15,3,1000,0,265.1996881,57.34858727
Grids_15,3,1000,1,265.3425664,58.13177347
Grids_15,3,1000,2,264.5909925,56.31098509
Grids_15,3,1000,3,264.2565923,55.6743865
Grids_15,3,1000,4,264.8599776,57.50390983
Grids_15,3,1000,5,264.7662916,57.26455879
Grids_15,3,1000,6,262.4505305,56.74874616
